Artikeltyp;ExternalKey;Artikelname;ParentExternalKey
Einzelartikel;1020474;Couscous;
Einzelartikel;1021972;Couscous;
Einzelartikel;1022170;Cranberries;
Einzelartikel;1019972;Crémant d'Alsace, Domaine Moltès;
Einzelartikel;1019087;Crémant d'Alsace;
Einzelartikel;Direktversand_Trockenprodukte_Gewuerze_0_Curry;;
Einzelartikel;1001394;Curry;
Einzelartikel;1021263;Dattel-Walnuss Riegel;
Einzelartikel;Direktversand_Trockenprodukte_Trockenfruechte_0_Dattelnentsteint;;
Einzelartikel;1000334;Entsteinte Datteln;
Einzelartikel;1021737;Entsteinte Datteln;
Einzelartikel;1000128;Datteln entsteint;
Einzelartikel;1006774;Datteln entsteint;
Einzelartikel;1019197;Decori Astratti / George Sowden;
Einzelartikel;1007618;Degusetbeutel;
Einzelartikel;1003093;;
Einzelartikel;1020343;Degustationsset gemischt;
Einzelartikel;1017123;Degustationsset gemischt;
Einzelartikel;1014832;Degustationsset;
Einzelartikel;1015534;Degustationsset gemischt;
Einzelartikel;1017122;Degustationsset Nüsse;
Einzelartikel;1002685;Degustationsset Nüsse;
Einzelartikel;1020565;Degustationsset Nüsse;
Einzelartikel;1004961;Degustationsset Nüsse;
Einzelartikel;1003097;;
Einzelartikel;1003293;;
Einzelartikel;1003292;;
Einzelartikel;1017121;Degustationsset Trockenfrüchte;
Einzelartikel;1011345;Degustationsset Trockenfrüchte;
Einzelartikel;1004962;Degustationsset Trockenfrüchte;
Einzelartikel;1019156;Devil / Ilvio Gallo;
Einzelartikel;1019944;Die Intelligenz der Vielen / huber.huber;
Einzelartikel;1018596;Die verborgene Welt der Olive;
Einzelartikel;1000102;Dinkelpasta;
Einzelartikel;1018977;Dörrbohnen;
Einzelartikel;1002251;Cashews mit Curry;
Einzelartikel;1002253;Cashews mit Za'tar;
Einzelartikel;1002271;Mango Brooks;
Einzelartikel;1021250;Edamame;
Einzelartikel;1019108;Kalamata-Oliven;
Einzelartikel;1019109;Kalamata-Oliven mit Oregano;
Einzelartikel;1022269;Kalamata-Oliven mit Oregano;
Einzelartikel;1018976;Mittelreifer Schafskäse;
Einzelartikel;1021056;Schafskäse;
Einzelartikel;1017399;Einkaufsgutschein gebana CHF 30.-;
Einzelartikel;1004096;Einzahlugnsschein;
Einzelartikel;1022169;;
Einzelartikel;1020465;Erdbeeren;
Einzelartikel;1001743;Erdnüsse mit Salz;
Einzelartikel;1002689;Erdnüsse mit Salz;
Einzelartikel;1022367;Erdnüsse mit Salz;
Einzelartikel;1020631;Erdnüsse mit Salz;
Einzelartikel;Direktversand_Trockenprodukte_Nuesse_0_Erdnuessegeroestetgewuerzt;;
Einzelartikel;Direktversand_Trockenprodukte_Nuesse_0_Erdnuesseungeroestet;;
Einzelartikel;1020616;Wilde Erdnüsse;
Einzelartikel;1017565;Wilde Erdnüsse;
Einzelartikel;1022293;Erdnussmus;
Einzelartikel;1022135;Hausmischung Espresso;
Einzelartikel;1022137;Hausmischung Espresso;
Einzelartikel;1021875;Kaffeekapseln Espresso;
Einzelartikel;1021733;Hausmischung Espresso;
Einzelartikel;1021730;Hausmischung Espresso;
