TYPE;NAVIGATIONPATH;EXTERNALKEY;Artikelname (KOM --> Übersetzung);Produkttext Shop (KOM --> Übersetzung);Anbau - übersetzen (KOM);Einkauf & Logistik - übersetzen (KOM);Produzierende - übersetzen (KOM);Verarbeitung - übersetzen (KOM);Nachhaltigkeit & Transparenz (KOM);Verwendung & Zubereitung (KOM --> Übersetzung);Aufbewahrung & Haltbarkeit (KOM --> Übersetzung);Herkunft (KOM);Category ID Shopware (Kategorien)
Artikel;Direktversand > Trockenprodukte > Nüsse > Nüsse - weitere;1022159;Barunüsse;Diese gerösteten Barunüsse stammen aus Wildsammlung aus den Cerrados in der Region Rio Vermelho im Südosten Brasiliens. Unser Partner verarbeitet die Nüsse vollständig vor Ort in der Kleinstadt Jussara im Bundestaat Goiás. Barunüsse erinnern im Geschmack an Erdnüsse mit Noten von Kakao und Kaffee. Die Menschen vor Ort nennen sie Cumbaru, was so viel wie schwarzer Diamant bedeutet. Sie schmecken pur wie in Müsli oder Salat und eigenen sich auch zum Backen.;Bio, keine Bewässerung, Wildsammlung, von Hand geerntet.;Einkauf bei Verarbeiter, seit 2025. Transport: LKW von Jussara (Goiás) nach Santos, Schiff nach Rotterdam. LKW nach Embrach/Singen.;Von 15 Bauernfamilien wild in den Cerrados in der Region Rio Vermelho im Südosten Brasiliens gesammelt.;Vollständig vor Ort verarbeitet und verpackt, 100 % der Mitarbeitenden in der Verarbeitung haben Arbeitsverträge.;;;Bewahren Sie Nüsse und Kerne kühl und dunkel in einem fest verschlossenen Gefäss auf. Achten Sie darauf, dass dieses möglichst luftdicht ist, damit keine Feuchtigkeit an die Nüsse gelangt. Um die Haltbarkeit um einige Monate zu verlängern, können Sie Nüsse und Kerne auch einfrieren.;Brasilien;Nüsse & Kerne, Weitere Nüsse & Kerne
Produkt;Direktversand > Trockenprodukte > Grundnahrungsmittel > Reis;Direktversand_Trockenprodukte_Grundnahrungsmittel_Reis_Basmati;;;;;;;;;;;
Artikel;Direktversand > Trockenprodukte > Grundnahrungsmittel > Reis > Basmati;1021405;Basmatireis;Dieser aromatische Duftreis stammt aus der Region Dataganj im Bundesstaat Uttar Pardesh im Nordosten Indiens. Über 800 Bauernfamilien bauen ihn dort auf Feldern mit durchschnittlich 1.5 bis 2 Hektar Fläche an und verarbeiten ihn vollständig von Hand. Ihre Felder bewässern die Familien gezielt, sie verzichten auf dauerhafte Flutung. Mindestens haltbar bis 09.01.2024;;;;;;Zubereitung (Grundrezept für 3-4 Personen): 1 Tasse Reis zwei Mal waschen und in Kochtopf geben. 1.5-fache Menge Wasser dazugeben und salzen. 10min einweichen, dann aufkochen und sobald es kocht mittlere Hitzestufe einstellen. Danach Reis ca. 10-12 min bei geschlossenem Deckel köcheln lassen.;;Indien;Reis & Getreide, Vorrat
Artikel;Direktversand > Trockenprodukte > Grundnahrungsmittel > Reis > Basmati;1021970;Basmatireis;Dieser aromatische Duftreis stammt aus der Region Dataganj im Bundesstaat Uttar Pardesh im Nordosten Indiens. Über 800 Bauernfamilien bauen ihn dort auf Feldern mit durchschnittlich 1.5 bis 2 Hektar Fläche an und verarbeiten ihn vollständig von Hand. Ihre Felder bewässern die Familien gezielt, sie verzichten auf dauerhafte Flutung. Mindestens haltbar bis 28.02.2027;;;;;Von 2000 Bauernfamilien auf durchschnittlich 1 ha im Vorgebirge des Himalayas angebaut Bio, Transport: Schiff von Indien nach Rotterdam, Rheinschiff von Rotterdam nach Basel, LKW zur Reismühle in Brunnen, 100 % der Mitarbeitenden haben Arbeitsverträge, Lohn entspricht Mindestlohn oder besser Einkauf bei Verarbeiter, seit 2013;Zubereitung (Grundrezept für 3-4 Personen): 1 Tasse Reis zwei Mal waschen und in Kochtopf geben. 1.5-fache Menge Wasser dazugeben und salzen. 10min einweichen, dann aufkochen und sobald es kocht mittlere Hitzestufe einstellen. Danach Reis ca. 10-12 min bei geschlossenem Deckel köcheln lassen.;;Indien;Reis & Getreide, Vorrat
Artikel;Direktversand > Trockenprodukte > Nüsse > Walnüsse;1020759;Geknackte Walnüsse;Geknackte Schweizer Walnüsse in Hälften, Vierteln und Bruch. Die Nüsse stammen von Biohöfen aus den Kantonen Graubünden, St. Gallen und Luzern, die sich in der Genossenschaft Swiss Nuss organisiert haben. Von Malans aus verkauft die Genossenschaft hauptsächlich an Bäckereien und andere Lebensmittelverarbeiter.;;;;;;;Bewahren Sie Nüsse und Kerne kühl und dunkel in einem fest verschlossenen Gefäss auf. Achten Sie darauf, dass dieses möglichst luftdicht ist, damit keine Feuchtigkeit an die Nüsse gelangt. Um die Haltbarkeit um einige Monate zu verlängern, können Sie Nüsse und Kerne auch einfrieren.;Schweiz;Nüsse & Kerne, Walnüsse & Pekannüsse
Artikel;Direktversand > Trockenprodukte > Nüsse > Walnüsse;1022366;Rote Walnüsse, geknackt;Geknackte rote Walnüsse von Familie Gubler aus Hörhausen. Die von der Familie eigens gezüchtete rote Walnuss ist mild im Geschmack. Bei der Produktion setzt Familie Gubler auf Hilfsmittel aus der biologischen Landwirtschaft. Nach der Ernte werden die Nüsse in der Anlage der Kooperative Nuss Thurgau . Sie ist CO2-neutral und ihr Waschwasser wird rezykliert. Bei diesen geknackten Nüssen handelt es sich um Walnüsse, die zu klein sind für den Verkauf. Familie Gubler lässt sie in Malans maschinell knacken, um sie dennoch verkaufen zu können. Durch die maschinelle Verarbeitung können die Nusshälft teilweise zerbrochen sein.;;;;;;;;Schweiz;Nüsse & Kerne, Walnüsse & Pekannüsse
Artikel;Direktversand > Trockenprodukte > Nüsse > Walnüsse;1020928;Rote Walnüsse;Ganze Walnüsse mit roten Nusskernen von Familie Gubler aus Hörhausen. Die von der Familie eigens gezüchtete rote Walnuss ist mild im Geschmack. Nach der Ernte werden die Walnüsse drei bis vier Tage getrocknet. So sind sie bei richtiger Lagerung bis zu einem Jahr lang haltbar. Bei der Produktion setzt Familie Gubler auf Hilfsmittel aus der biologischen Landwirtschaft. Verarbeitet werden die Nüsse in der Anlage der Kooperative Nuss Thurgau . Sie ist CO2-neutral und ihr Waschwasser wird rezykliert.;;;;;;;Bewahren Sie die Walnüsse in der Schale an einem kühlen und trockenen Ort auf. Idealerweise im kühlen Keller. So sind sie bis zu einem Jahr lang haltbar.;Schweiz;Nüsse & Kerne, Walnüsse & Pekannüsse
Artikel;Direktversand > Trockenprodukte > Nüsse > Walnüsse;1020770;Walnüsse Lara;Ganze, ungeschälte Walnüsse aus dem Obstgarten von Ernst Sonderegger in Balgach, St. Gallen. Sonderegger produziert die Nüsse naturnah und pestizidfrei. Unter seinen Bäumen hält er Damwild, mit Vogelhäuschen und Asthaufen fördert er die Biodiversität. Die dünnschaligen Nüsse der Sorte Lara haben einen cremigen Geschmack mit einer zarten Süsse ohne Bitterkeit.;;;;;;;Ungeöffnet halten sich die Nüsse etwa zwölf Monate. Nach dem Öffnen sollten Sie die Nüsse innerhalb von sechs Monaten verbrauchen und am besten im Kühlschrank lagern. Alternativ können Sie die Nüsse auch einfrieren.;Schweiz;Nüsse & Kerne, Walnüsse & Pekannüsse
Artikel;Direktversand > Trockenprodukte > Nüsse > Walnüsse;1021869;Walnüsse Lara;Ganze Walnüsse der Sorte Lara der Familien Gubler und Jud aus Hörhausen. Diese Sorte bringt sehr grosse Walnüsse mit mildem Geschmack hervor. Nach der Ernte werden die Nüsse drei bis vier Tage getrocknet. So sind sie bei richtiger Lagerung bis zu einem Jahr lang haltbar. Bei der Produktion setzen die Familien auf Hilfsmittel aus der biologischen Landwirtschaft. Verarbeitet werden die Nüsse in der Anlage der Kooperative Nuss Thurgau . Sie ist CO2-neutral und ihr Waschwasser wird rezykliert.;;;;;;;Bewahren Sie die Walnüsse in der Schale an einem kühlen und trockenen Ort auf. Idealerweise im kühlen Keller. So sind sie bis zu einem Jahr lang haltbar.;Schweiz;Nüsse & Kerne, Walnüsse & Pekannüsse
Artikel;Direktversand > Trockenprodukte > Nüsse > Walnüsse;1020555;Walnüsse diverse Sorten;Ganze Walnüsse von 6 bis 7 Kleinproduzent:innen, verarbeitet in der Anlage der Kooperative Nuss Thurgau . Jedes Paket enthält verschiedene Sorten, die teilweise grösser sind als Nüsse, die man im Einzelhandel findet. Die Nüsse werden nach der Ernte werden drei bis vier Tage getrocknet. So sind sie bis zu einem Jahr lang haltbar. Die Verarbeitungsanlage der Kooperative Nuss Thurgau ist CO2-neutral und ihr Waschwasser wird rezykliert.;;;;;;;Bewahren Sie die Walnüsse in der Schale an einem kühlen und trockenen Ort auf. Idealerweise im kühlen Keller. So sind sie bis zu einem Jahr lang haltbar.;Schweiz;Nüsse & Kerne, Walnüsse & Pekannüsse
Artikel;Direktversand > Archiv > Archiv-Trockenprodukte > ZZ-Archiv-Nüsse;1020680;Walnüsse in der Schale;Ganze Walnüsse der Sorte Grenoble Fanquette von Familie Roth in Altwis, Kanton Luzern. Die alte Sorte gehört zu den letzten, die sich noch selbst über die Nussfrüchte vermehren können. Familie Roth produziert in Umstellung auf biologische Landwirtschaft. In ihrer Obstanlage wachsen unter anderem alte Hochstammbäume und ProSpecieRara-Sorten.;;;;;;;Bewahren Sie die Walnüsse in der Schale an einem kühlen und trockenen Ort auf. Idealerweise im kühlen Keller. So sind sie bis zu einem Jahr lang haltbar.;Schweiz;Nüsse & Kerne, Walnüsse & Pekannüsse
Artikel;Direktversand > Trockenprodukte > Nüsse > Walnüsse;1019784;Baumnüsse;Geknackte Schweizer Baumnüsse in Hälften, Vierteln und Bruch aus der Ernte 2020. Die Nüsse stammen von Bauernfamilien aus den Kantonen Graubünden, St. Gallen und Luzern, die sich in der Genossenschaft Swiss Nuss organisiert haben. Von Malans aus verkauft die Genossenschaft hauptsächlich an Bäckereien und andere Lebensmittelverarbeiter.;;;;;;;Ungeöffnet halten sich die Nüsse etwa zwölf Monate. Nach dem Öffnen sollten Sie die Nüsse innerhalb von sechs Monaten verbrauchen und am besten im Kühlschrank lagern. Alternativ können Sie die Nüsse auch einfrieren.;Schweiz;
Artikel;Direktversand > Trockenprodukte > Nüsse > Walnüsse;1020645;Baumnüsse;Ganze Baumnüsse der Sorte Grenoble Fanquette von Familie Roth in Altwis, Kanton Luzern. Die alte Sorte gehört zu den letzten, die sich noch selbst über die Nussfrüchte vermehren können. Familie Roth produziert in Umstellung auf biologische Landwirtschaft. In ihrer Obstanlage wachsen unter anderem alte Hochstammbäume und ProSpecieRara-Sorten.;;;;;;;Bewahren Sie die Baumnüsse in der Schale an einem kühlen und trockenen Ort auf. Idealerweise im kühlen Keller. So sind sie bis zu einem Jahr lang haltbar.;Schweiz;
Artikel;Direktversand > Trockenprodukte > Trockenprodukte - weitere;1022153;Walnussmus;Walnussmus aus Schweizer Walnüssen, hergestellt in Chur. Es enthält ausschliesslich geröstete Walnüsse und Walnussöl. Das Walnussmuss hat eine leicht körnige Konsistenz und schmeck kräftig nach Walnüssen mit einer leichten Bitternote und sanfter Süsse im Abgang. Walnussmus lässt sich vielseitig in der Küche einsetzen. Zum Beispiel für Salatdressings, Saucen, Dips, als Brotaufstrich und zum Backen.;;;;;;;Nussmus hält sich nach dem Öffnen bei Zimmertemperatur circa 3 Monate. Rühren Sie das Mus bei Bedarf vor dem Verzehr auf, damit es wieder cremig wird.;Schweiz;Brotaufstrich & Nussmus, Vorrat
Produkt;Direktversand > Frischprodukte > Früchte;Direktversand_Frischprodukte_Fruechte_0_Beerenfrisch;;;;;;;;;;;
Artikel;Direktversand > Archiv > Archiv-Trockenprodukte > ZZ-Archiv-Trockenprodukte;1004252;Bergfeigen;Unsere getrockneten Feigen der Sorte Smyrna kommen aus den Bergen der Südwest-Türkei. Sieben Bauernfamilien bauen Sie dort an und trocknen die Früchte schonend in der Sonne. Diese traditionelle Art der Verarbeitung resultiert in intensiv schmeckenden Früchten. Sie sind weder geschwefelt noch mit Zucker versetzt. Wir beziehen die getrockneten Bergfeigen über den türkischen Bio-Pionier OTS Organik. Seit 2009 fördert der Betrieb den Bio-Anbau in der Türkei. OTS zählt zu den ersten externen Partnern, mit denen wir das gebana Modell umgesetzt haben. Mindestens haltbar bis 30.11.2024;Bio, sonnengetrocknet, bewässerte Felder, von Hand geerntet.;Einkauf bei Exporteur, seit 2020. Transport: LKW aus der Türkei über Bulgarien in die Schweiz.;Von 6 Bauernfamilien auf durchschnittlich 4 ha in der Region um Aydin in der Türkei angebaut.;Von Hand sortiert.;Von 8 Bauernfamilien auf durchschnittlich 4 ha in der Region um Aydin in der Türkei angebaut Bio, sonnengetrocknet, bewässerte Felder, von Hand geerntet, Transport: LKW aus der Türkei über Bulgarien in die Schweiz, 100 % der Mitarbeitenden haben Arbeitsverträge, Lohn entspricht Mindestlohn oder besser Einkauf bei Exporteur, seit 2020 Verbesserungspotenzial: CO2-Emissionen reduzieren;Die süssen Bergfeigen eignen sich nicht nur als Snack, sondern können beim Backen als Zuckerersatz Verwendung finden: klein schneiden und in gleicher Menge statt Zucker verwenden. Weitere Ideen zur Verwendung von Trockenfrüchten .;Bewahren Sie die getrockneten Früchte trocken, kühl und vor Licht geschützt auf  idealerweise im kühlen Keller. Alternativ können Sie getrocknete Feigen in den Wintermonaten vor Frost geschützt auf dem Balkon aufbewahren - zum Beispiel in einer Styroporbox. Die Kälte schützt die Trockenfrüchte vor Schädlingen wie Lebensmittelmotten. Die Feigen sind auch noch essbar, wenn sich ein weisser Belag bildet. Es handelt sich dabei um Fruchtzucker, der an der Oberfläche trocknet.;Türkei;
