TYPE;NAVIGATIONPATH;EXTERNALKEY;Artikelname (KOM --> Übersetzung);Produkttext Shop (KOM --> Übersetzung);Anbau - übersetzen (KOM);Einkauf & Logistik - übersetzen (KOM);Produzierende - übersetzen (KOM);Verarbeitung - übersetzen (KOM);Nachhaltigkeit & Transparenz (KOM);Verwendung & Zubereitung (KOM --> Übersetzung);Aufbewahrung & Haltbarkeit (KOM --> Übersetzung);Herkunft (KOM);Category ID Shopware (Kategorien)
Artikel;Direktversand > Trockenprodukte > Trockenfrüchte > Feigen;1004259;Bergfeigen;Unsere getrockneten Feigen der Sorte Smyrna kommen aus den Bergen der Südwest-Türkei. Sieben Bauernfamilien bauen Sie dort an und trocknen die Früchte schonend in der Sonne. Diese traditionelle Art der Verarbeitung resultiert in intensiv schmeckenden Früchten. Sie sind weder geschwefelt noch mit Zucker versetzt. Wir beziehen die getrockneten Bergfeigen über den türkischen Bio-Pionier OTS Organik. Seit 2009 fördert der Betrieb den Bio-Anbau in der Türkei. OTS zählt zu den ersten externen Partnern, mit denen wir das gebana Modell umgesetzt haben.;Bio, sonnengetrocknet, bewässerte Felder, von Hand geerntet.;Einkauf bei Exporteur, seit 2020. Transport: LKW aus der Türkei über Bulgarien in die Schweiz.;Von 6 Bauernfamilien auf durchschnittlich 4 ha in der Region um Aydin in der Türkei angebaut.;Von Hand sortiert.;Von 8 Bauernfamilien auf durchschnittlich 4 ha in der Region um Aydin in der Türkei angebaut Bio, sonnengetrocknet, bewässerte Felder, von Hand geerntet, Transport: LKW aus der Türkei über Bulgarien in die Schweiz, 100 % der Mitarbeitenden haben Arbeitsverträge, Lohn entspricht Mindestlohn oder besser Einkauf bei Exporteur, seit 2020 Verbesserungspotenzial: CO2-Emissionen reduzieren;Die süssen Bergfeigen eignen sich nicht nur als Snack, sondern können beim Backen als Zuckerersatz Verwendung finden: klein schneiden und in gleicher Menge statt Zucker verwenden. Weitere Ideen zur Verwendung von Trockenfrüchten .;Bewahren Sie die getrockneten Früchte trocken, kühl und vor Licht geschützt auf  idealerweise im kühlen Keller. Alternativ können Sie getrocknete Feigen in den Wintermonaten vor Frost geschützt auf dem Balkon aufbewahren - zum Beispiel in einer Styroporbox. Die Kälte schützt die Trockenfrüchte vor Schädlingen wie Lebensmittelmotten. Die Feigen sind auch noch essbar, wenn sich ein weisser Belag bildet. Es handelt sich dabei um Fruchtzucker, der an der Oberfläche trocknet.;Türkei;Feigen, Trockenfrüchte
Artikel;Direktversand > Trockenprodukte > Trockenfrüchte > Feigen;1017427;Bergfeigen;Unsere getrockneten Feigen der Sorte Smyrna kommen aus den Bergen der Südwest-Türkei. Sechs Bauernfamilien bauen Sie dort an und trocknen die Früchte schonend in der Sonne. Diese traditionelle Art der Verarbeitung resultiert in intensiv schmeckenden Früchten. Sie sind weder geschwefelt noch mit Zucker versetzt. Wir beziehen die getrockneten Bergfeigen über den türkischen Bio-Pionier OTS Organik. Seit 2009 fördert der Betrieb den Bio-Anbau in der Türkei. OTS zählt zu den ersten externen Partnern, mit denen wir das gebana Modell umgesetzt haben.;Bio, sonnengetrocknet, bewässerte Felder, von Hand geerntet.;Einkauf bei Exporteur, seit 2020. Transport: LKW aus der Türkei über Bulgarien in die Schweiz.;Von 6 Bauernfamilien auf durchschnittlich 4 ha in der Region um Aydin in der Türkei angebaut.;Von Hand sortiert.;Von 7 Bauernfamilien auf durchschnittlich 4 ha in der Region um Aydin in der Türkei angebaut Bio, sonnengetrocknet, bewässerte Felder, von Hand geerntet, Transport: LKW aus der Türkei über Bulgarien in die Schweiz, 100 % der Mitarbeitenden haben Arbeitsverträge, Lohn entspricht Mindestlohn oder besser Einkauf bei Exporteur, seit 2020 Verbesserungspotenzial: CO2-Emissionen reduzieren;Die süssen Bergfeigen eignen sich nicht nur als Snack, sondern können beim Backen als Zuckerersatz Verwendung finden: klein schneiden und in gleicher Menge statt Zucker verwenden. Weitere Ideen zur Verwendung von Trockenfrüchten .;Bewahren Sie die getrockneten Früchte trocken, kühl und vor Licht geschützt auf  idealerweise im kühlen Keller. Alternativ können Sie getrocknete Feigen in den Wintermonaten vor Frost geschützt auf dem Balkon aufbewahren - zum Beispiel in einer Styroporbox. Die Kälte schützt die Trockenfrüchte vor Schädlingen wie Lebensmittelmotten. Die Feigen sind auch noch essbar, wenn sich ein weisser Belag bildet. Es handelt sich dabei um Fruchtzucker, der an der Oberfläche trocknet.;Türkei;Feigen, Trockenfrüchte
Artikel;Direktversand > Trockenprodukte > Trockenfrüchte > Feigen;1017428;Bergfeigen;Unsere getrockneten Feigen der Sorte Smyrna kommen aus den Bergen der Südwest-Türkei. Sechs Bauernfamilien bauen Sie dort an und trocknen die Früchte schonend in der Sonne. Diese traditionelle Art der Verarbeitung resultiert in intensiv schmeckenden Früchten. Sie sind weder geschwefelt noch mit Zucker versetzt. Wir beziehen die getrockneten Bergfeigen über den türkischen Bio-Pionier OTS Organik. Seit 2009 fördert der Betrieb den Bio-Anbau in der Türkei. OTS zählt zu den ersten externen Partnern, mit denen wir das gebana Modell umgesetzt haben.;Bio, sonnengetrocknet, bewässerte Felder, von Hand geerntet.;Einkauf bei Exporteur, seit 2020. Transport: LKW aus der Türkei über Bulgarien in die Schweiz.;Von 6 Bauernfamilien auf durchschnittlich 4 ha in der Region um Aydin in der Türkei angebaut.;Von Hand sortiert.;Von 7 Bauernfamilien auf durchschnittlich 4 ha in der Region um Aydin in der Türkei angebaut Bio, sonnengetrocknet, bewässerte Felder, von Hand geerntet, Transport: LKW aus der Türkei über Bulgarien in die Schweiz, 100 % der Mitarbeitenden haben Arbeitsverträge, Lohn entspricht Mindestlohn oder besser Einkauf bei Exporteur, seit 2020 Verbesserungspotenzial: CO2-Emissionen reduzieren;Die süssen Bergfeigen eignen sich nicht nur als Snack, sondern können beim Backen als Zuckerersatz Verwendung finden: klein schneiden und in gleicher Menge statt Zucker verwenden. Weitere Ideen zur Verwendung von Trockenfrüchten .;Bewahren Sie die getrockneten Früchte trocken, kühl und vor Licht geschützt auf  idealerweise im kühlen Keller. Alternativ können Sie getrocknete Feigen in den Wintermonaten vor Frost geschützt auf dem Balkon aufbewahren - zum Beispiel in einer Styroporbox. Die Kälte schützt die Trockenfrüchte vor Schädlingen wie Lebensmittelmotten. Die Feigen sind auch noch essbar, wenn sich ein weisser Belag bildet. Es handelt sich dabei um Fruchtzucker, der an der Oberfläche trocknet.;Türkei;Feigen, Trockenfrüchte
Artikel;Direktversand > Archiv > Archiv-Frischprodukte > ZZ-Archiv-Milchprodukte;1019054;Berner Alpkäse AOP;Rezenter Alpkäse, der während 5 bis 6 Monaten gereift ist. Der Käse entsteht auf der Alp Leissigbärgli im Kanton Bern, die Brigitte Grau und Martin Schmutz führen. Sie stellen dort pro Tag sechs Laibe traditionell von Hand her. Die Laibe variieren deshalb in ihrem Gewicht, eine exakte Gewichtsangabe ist unmöglich. Ein halber Laib kommt aber auf mindestens 6 Kilo.;;;;;;;Im Kühlschrank gelagert hält sich der angeschnittene Käse etwa zwei Wochen lang. Wickeln Sie angeschnittene Stücke in ein Bienenwachstuch oder Frischhaltefolie ein, damit der Käse nicht austrocknet. Alternativ können Sie den Käselaib in kleinere Stücke schneiden, diese vakuumieren und dann im Kühlschrank oder kühlen Keller lagern. So hält sich der Käse über mindestens 10 Wochen. Er lässt sich auch problemlos einfrieren, beim Auftauen wird er dabei etwas bröckelig. An der Oberfläche kann sich Schimmel bilden. Dieser geht allerdings nicht durch die Rinde hindurch. Einfach grosszügig wegschneiden.;Schweiz;Fleisch & Käse, Käse
Artikel;Direktversand > Frischprodukte > Milchprodukte > Alp-/Bergkäse;1022151;Berner Alpkäse von der Alp Oltscheren;Dieser Berner Alpkäse aus dem Alpsommer 2022 ist ca. 32 Monate gereift. In Konsistenz und Geschmack ähnelt der Extrahartkäse einem reifen Parmesan mit kräftiger Salznote. Aufgrund seines Alters gilt er als Berner Hobelkäse. Hergestellt hat ihn Familie Fuchs nach traditioneller Art im Kupferkessel auf der Alp Oltscheren zwischen Meiringen und Brienz. Der Käse ist vakuumiert.;;;;;;;Im Kühlschrank gelagert hält sich der Käse mehrere Wochen lang. Wickeln Sie angeschnittene Stücke in ein Bienenwachstuch oder Frischhaltefolie ein, damit der Käse nicht austrocknet. Alternativ können Sie den Käselaib in kleinere Stücke schneiden, diese vakuumieren und dann im Kühlschrank oder kühlen Keller lagern. So hält sich der Käse über mindestens 10 Wochen. Er lässt sich auch problemlos einfrieren, beim Auftauen wird er dabei etwas bröckelig.;Schweiz;Fleisch & Käse, Käse
Artikel;Direktversand > Frischprodukte > Milchprodukte > Alp-/Bergkäse;1022150;Berner Alpkäse von der Alp Oltscheren;Dieser Berner Alpkäse stammt aus dem Alpsommer 2023 und ist ca 20 Monate gereift. Der Hartkäse erinnert in Geschmack und Konsistenz an einen milden, jungen Parmesan. Hergestellt hat ihn Familie Fuchs nach traditioneller Art im Kupferkessel auf der Alp Oltscheren zwischen Meiringen und Brienz. Der Käse ist vakuumiert.;;;;;;;Im Kühlschrank gelagert hält sich der Käse mehrere Wochen lang. Wickeln Sie angeschnittene Stücke in ein Bienenwachstuch oder Frischhaltefolie ein, damit der Käse nicht austrocknet. Alternativ können Sie den Käselaib in kleinere Stücke schneiden, diese vakuumieren und dann im Kühlschrank oder kühlen Keller lagern. So hält sich der Käse über mindestens 10 Wochen. Er lässt sich auch problemlos einfrieren, beim Auftauen wird er dabei etwas bröckelig.;Schweiz;Fleisch & Käse, Käse
Artikel;Direktversand > Frischprodukte > Milchprodukte > Alp-/Bergkäse;1022149;Berner Alpkäse von der Alp Oltscheren;Dieser Berner Alpkäse stammt aus dem Alpsommer 2024 und ist ca 10 Monate. Er hat eine rezente Würzigkeit und eine ausgewogene Salznote. Im Abgang ist er noch leicht buttrig. Hergestellt hat ihn Familie Fuchs nach traditioneller Art im Kupferkessel auf der Alp Oltscheren zwischen Meiringen und Brienz. Der Käse ist vakuumiert.;;;;;;;Im Kühlschrank gelagert hält sich der Käse mehrere Wochen lang. Wickeln Sie angeschnittene Stücke in ein Bienenwachstuch oder Frischhaltefolie ein, damit der Käse nicht austrocknet. Alternativ können Sie den Käselaib in kleinere Stücke schneiden, diese vakuumieren und dann im Kühlschrank oder kühlen Keller lagern. So hält sich der Käse über mindestens 10 Wochen. Er lässt sich auch problemlos einfrieren, beim Auftauen wird er dabei etwas bröckelig.;Schweiz;Fleisch & Käse, Käse
Artikel;Direktversand > Frischprodukte > Milchprodukte > Alp-/Bergkäse;1022218;Alpkäse von der Alp Schüpfi;Berner Bio-Alpkäse von der Alp Schüpfi im Saanenland. Die Alp und der dazugehörige Talbetrieb in Zweisimmen im Simmental sind seit 1996 bio-zertifiziert. Im Januar 2025 haben Raphaël und Silvia Ballmoos-Fuchs den Betrieb übernommen. Sie halten neben Milchkühen und ihren Jungtieren auch Ziegen, Hühner und Schweine. Im Dezember liefert die Bauernfamilie einen 5 Monate gereiften Berner Alpkäse. Der fünf Monate alte Käse ist mild im Geschmack.;;;;;;;;Schweiz;Fleisch & Käse, Käse
Artikel;Direktversand > Frischprodukte > Milchprodukte > Alp-/Bergkäse;1022219;Alpkäse von der Alp Schüpfi;Berner Bio-Alpkäse AOP von der Alp Schüpfi im Saanenland. Die Alp und der dazugehörige Talbetrieb in Zweisimmen im Simmental sind seit 1996 bio-zertifiziert. Im Januar 2025 haben Raphaël und Silvia Ballmoos-Fuchs den Betrieb übernommen. Sie halten neben Milchkühen und ihren Jungtieren auch Ziegen, Hühner und Schweine. Im Mai liefert die Bauernfamilie einen 9 bis 10 Monate gereiften Berner Alpkäse. Der Käse ist sehr würzig, aber trotzdem noch eher weich.;;;;;;;;Schweiz;Fleisch & Käse, Käse
Artikel;Direktversand > Frischprodukte > Milchprodukte > Alp-/Bergkäse;1022280;Berner Alpkäse rezent;Über zwei Jahre gereifter Berner Alpkäse. Sie erhalten je ein Stück von der Alp Gandlauenen von der Saison 2022 sowie von der Alp Grindel aus dem Jahr 2023. Durch die lange Reifung sind beide Käsevariationen sehr rezent im Geschmack. In der Konsistenz erinnern sie an Parmesan.;;;;;;;Im Kühlschrank gelagert hält sich der Käse mehrere Wochen lang. Wickeln Sie angeschnittene Stücke in ein Bienenwachstuch oder Frischhaltefolie ein, damit der Käse nicht austrocknet. Alternativ können Sie den Käselaib in kleinere Stücke schneiden, diese vakuumieren und dann im Kühlschrank oder kühlen Keller lagern. So hält sich der Käse über mindestens 10 Wochen. Er lässt sich auch problemlos einfrieren, beim Auftauen wird er dabei etwas bröckelig.;Schweiz;Fleisch & Käse, Käse
